code_commune,nom,population,IMD4_national,income_median,IES,poverty_rate
02249,Cuiry-Housse,102.0,-0.199520903091577,23420.0,-0.2542450237172861,
02253,Cuisy-en-Almont,361.0,-0.1470558065248547,24260.0,-0.1962869084858969,
02254,Cutry,126.0,-0.1651394275822964,24460.0,-0.2171148147306108,
02255,Cys-la-Commune,161.0,-0.1504711402610535,20660.0,-0.19344087922053957,
02256,Dagny-Lambercy,123.0,-0.1982751962643813,20490.0,-0.24724676668630802,
02257,Dallon,424.0,-0.1019171751797542,27180.0,-0.14990599785398007,
02258,Dammard,378.0,-0.1400125304478607,22140.0,-0.18448583814100347,
02259,Dampleux,370.0,-0.1412109141237963,25610.0,-0.1919297693279705,
02260,Danizy,609.0,-0.094003609610031,19930.0,-0.12797201284269144,
02261,Dercy,392.0,-0.1534888823143906,21950.0,-0.19939123244840384,
02262,Deuillet,208.0,-0.13276898570335,22500.0,-0.17695478559098737,
02263,Dhuizel,114.0,-0.1851038208851197,23820.0,-0.23862164620712495,
02264,Dizy-le-Gros,717.0,-0.151526446561786,19340.0,-0.19187628625364692,
02267,Dommiers,287.0,-0.1471535566918388,23120.0,-0.1943856097567985,
02268,Domptin,654.0,-0.0907684616969112,24440.0,-0.13283497491073668,
02269,Dorengt,148.0,-0.1920882083627899,21180.0,-0.24162283571685705,
02270,Douchy,153.0,-0.1590325335692889,21140.0,-0.20409913756462378,
